iter	Logloss
0	0.636975167
1	0.5820762467
2	0.547649696
3	0.5212004848
4	0.501307083
5	0.4846972042
6	0.4719210065
7	0.4568360167
8	0.4462159985
9	0.4394677774
10	0.4340012451
11	0.4292599569
12	0.4246360364
13	0.4214766132
14	0.4158048978
15	0.4132469406
16	0.4106863351
17	0.4083629648
18	0.4061989394
19	0.40442642
20	0.4025710602
21	0.4021312407
22	0.4006715946
23	0.3996950321
24	0.3985430864
25	0.3973415898
26	0.3957987814
27	0.3949772324
28	0.3941294476
29	0.3933917786
30	0.3927225452
31	0.3918356049
32	0.3912217139
33	0.3906517307
34	0.3900853611
35	0.389373705
36	0.3887272175
37	0.3879431162
38	0.3875053263
39	0.3865663849
40	0.3859140067
41	0.3853464738
42	0.3848432679
43	0.3842870955
44	0.3840028588
45	0.3837626535
46	0.3834334448
47	0.3831747261
48	0.3824307456
49	0.3821935847
50	0.3819012793
51	0.3814231458
52	0.3811309394
53	0.3807202267
54	0.3805025198
55	0.380396983
56	0.3799807509
57	0.379541377
58	0.379457497
59	0.3789694385
60	0.3785560775
61	0.3780661132
62	0.3778854333
63	0.3774346246
64	0.3770468805
65	0.3767387347
66	0.3764943961
67	0.3762501564
68	0.3761230865
69	0.375876149
70	0.3752524073
71	0.3749927728
72	0.3747088826
73	0.3742940118
74	0.3739807426
75	0.3735976269
76	0.3733521993
77	0.37287961
78	0.372606214
79	0.3723423224
80	0.3721798837
81	0.3716394033
82	0.3714229339
83	0.3707996625
84	0.3705391865
85	0.3702605681
86	0.3700770914
87	0.3698224565
88	0.3694130309
89	0.3690638484
90	0.3688626255
91	0.3687080328
92	0.3684256276
93	0.3682722724
94	0.3679931344
95	0.3677704526
96	0.3672947694
97	0.3671043872
98	0.3666539745
99	0.3663662727
100	0.3660402816
101	0.3656853075
102	0.3653336747
103	0.3649625631
104	0.3645461826
105	0.3641479195
106	0.3638748701
107	0.3635284845
108	0.3633305038
109	0.3628244021
110	0.362413739
111	0.3622947377
112	0.361981023
113	0.3618112334
114	0.3616075601
115	0.3612155837
116	0.3608334581
117	0.3604695737
118	0.3601651899
119	0.3597957614
120	0.3594732107
121	0.3593126531
122	0.3588353859
123	0.3584412067
124	0.3580513588
125	0.3577043297
126	0.3573486625
127	0.3570105188
128	0.3567452906
129	0.3566015387
130	0.3562755229
131	0.3559419333
132	0.3556553206
133	0.3552932925
134	0.3551231316
135	0.3548486467
136	0.3546492058
137	0.3543717507
138	0.354159885
139	0.3538684211
140	0.3535339157
141	0.3533395982
142	0.3529627445
143	0.3524969369
144	0.3521950529
145	0.3518790116
146	0.3515192358
147	0.3512692788
148	0.3510443694
149	0.350918735
150	0.3506411315
151	0.3503027898
152	0.3499205404
153	0.3495590569
154	0.3491742582
155	0.3489981819
156	0.3487060992
157	0.3485583377
158	0.34829207
159	0.3480465186
160	0.3477675785
161	0.347517968
162	0.3470185737
163	0.3466675102
164	0.3464715591
165	0.3462107365
166	0.3460166665
167	0.3458070283
168	0.3456552572
169	0.345333152
170	0.3450975751
171	0.3449374382
172	0.3446833478
173	0.3443682718
174	0.3440690609
175	0.3437799978
176	0.3434322014
177	0.3431965997
178	0.3428730342
179	0.3426593369
180	0.3424193296
181	0.3420704689
182	0.3417146533
183	0.3414019038
184	0.3412370643
185	0.3410792045
186	0.340803383
187	0.3405185523
188	0.3402698328
189	0.3400186382
190	0.3398400621
191	0.3394699159
192	0.339254585
193	0.3389478747
194	0.3387402908
195	0.338369996
196	0.3381049411
197	0.3378501082
198	0.3374807044
199	0.3371639948
