name,best_params,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
logistic_regression,{'C': 1.0},0.8121442125237192,0.6798245614035088,0.5535714285714286,0.610236220472441,0.8507521225544481,0.8070009460737938,0.6557377049180327,0.5714285714285714,0.6106870229007634,0.8600225225225225
random_forest,"{'max_depth': 12, 'n_estimators': 400}",0.8074003795066413,0.6742081447963801,0.5321428571428571,0.5948103792415169,0.842017349575489,0.7975402081362346,0.6375,0.5464285714285714,0.5884615384615385,0.8515880676594962
catboost,"{'depth': 4, 'iterations': 200}",0.8178368121442126,0.691304347826087,0.5678571428571428,0.6235294117647059,0.8516888150609081,0.8003784295175024,0.6519823788546255,0.5285714285714286,0.5838264299802761,0.8577243059385915
xgboost,"{'max_depth': 3, 'n_estimators': 200}",0.8055028462998103,0.6518218623481782,0.575,0.6110056925996205,0.8411291066814323,0.7947019867549668,0.6351931330472103,0.5285714285714286,0.5769980506822612,0.8435282220996506
